"Lender name","University","Country / Main Campus","Criteria","Source","Courses","_RowNumber","_UniversityOriginal","_CountryOriginal","_UniversityNorm","_CountryNormOriginal","_CountryNormProposed","_ChangedUniversity","_ChangedCountry","_CountryConfidence","_CountryBreakdown"
"Bank of India","Symbiosis International University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3750","Symbiosis International University","United States of America","symbiosis international university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of Baroda","Syracuse University","United States of America","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs/management-course-new.pdf","Management; STEM","3751","Syracuse University","United States of America","syracuse university","united states of america","united states of america","False","False","high","united states of america:7"
"Bank of India","Syracuse University","United States of America","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3752","Syracuse University","United States of America","syracuse university","united states of america","united states of america","False","False","high","united states of america:7"
"Indian Overseas Bank","Syracuse University","United States of America","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3753","Syracuse University","United States of America","syracuse university","united states of america","united states of america","False","False","high","united states of america:7"
"Leapfinance","Syracuse University","United States of America","Listed","https://leapfinance.com/courses","Any course","3754","Syracuse University","United States of America","syracuse university","united states of america","united states of america","False","False","high","united states of america:7"
"Mpower","Syracuse University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","3755","Syracuse University","United States of America","syracuse university","united states of america","united states of america","False","False","high","united states of america:7"
"Prodigy","Syracuse University","United States of America","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Computer Science & IT; Engineering & Technology; Natural Sciences; Public Policy","3756","Syracuse University","United States of America","syracuse university","united states of america","united states of america","False","False","high","united states of america:7"
"Yes Bank","Syracuse University","United States of America","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3757","Syracuse University","United States of America","syracuse university","united states of america","united states of america","False","False","high","united states of america:7"
"Bank of India","Szczecin University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3758","Szczecin University","United States of America","szczecin university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Tabriz University of Medical Sciences","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3759","Tabriz University of Medical Sciences","United States of America","tabriz university of medical sciences","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Tabuk Universtiy","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3760","Tabuk Universtiy","United States of America","tabuk universtiy","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Tadeusz Kosciuszko Cracow University of Technology","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3761","Tadeusz Kosciuszko Cracow University of Technology","United States of America","tadeusz kosciuszko cracow university of technology","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Taibah University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3762","Taibah University","United States of America","taibah university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Taif University","Saudi Arabia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3763","Taif University","Saudi Arabia","taif university","saudi arabia","saudi arabia","False","False","high","saudi arabia:3"
