"Lender name","University","Country / Main Campus","Criteria","Source","Courses"
"Union Bank of India","Cornell University","United States of America","Category A","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","Art; Design; Economics & Econometrics; Law; Management; Performing Arts; STEM and Medical Courses"
"Yes Bank","Cornell University","United States of America","Top 75 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Corvinus University of Budapest","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Covenant University Ota","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Coventry University","United Kingdom","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Coventry University","United Kingdom","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Coventry University","United Kingdom","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Cracow University of Economics","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of Baroda","Cranfield University","United Kingdom","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs/management-course-new.pdf","Management; STEM"
"Bank of India","Cranfield University","United Kingdom","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Creighton University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","Creighton University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","Cukurova University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Cumhuriyet University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Prodigy","CUNY City College","United States of America","Listed","https://prodigyfinance.com/where-can-i-study/","Engineering & Technology; Natural Sciences"
"Mpower","CUNY City College","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","CUNY Hunter College","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","CUNY Lehman College","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of Baroda","Curtin University","Australia","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs2/2023/23-12/STEM-Courses-new.pdf","STEM"
"Bank of India","Curtin University","Australia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Curtin University","Australia","Top 50 to 200 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Curtin University","Australia","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Curtin University Malaysia","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Curtin University of Technology","Australia","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Union Bank of India","Curtin University of Technology","Australia","Category B","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","STEM"
"Bank of India","CY Cergy Paris Universite","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","CY Cergy Paris University","France","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","CY Cergy Paris University","France","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","CY Cergy Paris University","France","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Cyprus International University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Cyprus University of Technology","Cyprus","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Cyprus University of Technology","Cyprus","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Cyprus University of Technology","Cyprus","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Czech Technical University In Prague","Czechia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Czech Technical University In Prague","Czechia","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Indian Overseas Bank","Czech Technical University In Prague","Czechia","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Czech Technical University In Prague","Czechia","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Czech University of Life Sciences in Prague","Czechia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Czech University of Life Sciences in Prague","Czechia","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Czech University of Life Sciences in Prague","Czechia","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Czech University of Life Sciences Prague","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Daegu Gyeongbuk Institute of Science and Technology (DGIST)","South Korea","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Daegu Gyeongbuk Institute of Science and Technology (DGIST)","South Korea","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Daegu Gyeongbuk Institute of Science and Technology (DGIST)","South Korea","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Daegu Gyeongbuk Institute of Science and Technology (DGIST)","South Korea","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Daegu University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Daffodil International University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Dalarna University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Dalhousie University","Canada","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Dalhousie University","Canada","Top 200 to 300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Mpower","Dalhousie University","Canada","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Union Bank of India","Dalhousie University","Canada","Category B","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","LAW; MANAGEMENT; MEDICAL; STEM"
"Yes Bank","Dalhousie University","Canada","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Dalian Maritime University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Dalian Polytechnic University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Dalian University of Technology","China","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Dalian University of Technology","China","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Dalian University of Technology","China","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Damascus University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Dankook University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of Baroda","Dartmouth College","United States of America","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs/management-course-new.pdf","Management; Medical; STEM"
"Bank of India","Dartmouth College","United States of America","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Dartmouth College","United States of America","Top 200 to 300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Mpower","Dartmouth College","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Prodigy","Dartmouth College","United States of America","Listed","https://prodigyfinance.com/where-can-i-study/","Engineering & Technology"
"Union Bank of India","Dartmouth College","United States of America","Category A","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","Management and Medical; STEM"
"Yes Bank","Dartmouth College","United States of America","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Davidson College","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","Davidson College","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","De La Salle University","Philippines","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","De La Salle University","Philippines","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","De La Salle University","Philippines","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","De La Salle University Manila","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","De Montfort University","United Kingdom","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","De Montfort University","United Kingdom","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","De Montfort University","United Kingdom","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Deakin University","Australia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Deakin University","Australia","Top 200 to 300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Prodigy","Deakin University","Australia","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Computer Science & IT; Engineering & Technology; Natural Sciences"
"Union Bank of India","Deakin University","Australia","Category A","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","STEM and Management"
"Yes Bank","Deakin University","Australia","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Delaware State University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of Baroda","Delft University of Technology","Netherlands","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs2/2023/23-12/STEM-Courses-new.pdf","STEM"
"Bank of India","Delft University of Technology","Netherlands","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Delft University of Technology","Netherlands","Top 50 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"State Bank of India","Delft University of Technology","Netherlands","Annexure","As per bank list - https://drive.google.com/file/d/12exUFGGWOjypQI8sfCYLEz_Moavy22eH/view","Any course"
"Union Bank of India","Delft University of Technology","Netherlands","Category A","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","Design; Management; Medical; STEM"
"Yes Bank","Delft University of Technology","Netherlands","Top 75 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Delhi Technological University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Democritus University of Thrace","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Denison University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","Denison University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Mpower","Denver College of Nursing","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","DePaul University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Leapfinance","DePaul University","United States of America","Listed","https://leapfinance.com/courses","Any course"
"Mpower","DePaul University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Prodigy","DePaul University","United States of America","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Computer Science & IT; Engineering & Technology; Medicine & Health"
"Mpower","Depauw University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Mpower","Des Moines University - Osteopathic Medical Center","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Mpower","DeSales University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","Desert Research Institute","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Deutsche Sporthochschule Koln","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Dhofar University","Oman","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Dhofar University","Oman","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Dhofar University","Oman","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Dickinson College","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","Dickinson College","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","Dicle University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Diponegoro University","Indonesia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Diponegoro University","Indonesia","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Diponegoro University","Indonesia","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Diyala University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Dokkyo University School of Medicine","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Dokuz Eylul University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","Dominican University of California","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","Don State Technical University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Donau Universitat Krems Universitat fur Weiterbildung","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Dong-A University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Dongbei University of Finance & Economics","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Dongguan University of Technology","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Dongguk University","South Korea","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Dongguk University","South Korea","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Dongguk University","South Korea","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Donghua University","China","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Donghua University","China","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Donghua University","China","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Mpower","Dordt College","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","Doshisha University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Dr Babasaheb Ambedkar Marathwada University Aurangabad","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Dr Bhim Rao Ambedkar National Institute of Technology","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Drake University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","Drake University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Mpower","Drew University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of Baroda","Drexel University","United States of America","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs/management-course-new.pdf","Management; STEM"
"Bank of India","Drexel University","United States of America","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Drexel University","United States of America","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Mpower","Drexel University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Prodigy","Drexel University","United States of America","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Computer Science & IT; Engineering & Technology; Medicine & Health; Natural Sciences; Social Sciences"
"Yes Bank","Drexel University","United States of America","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Dublin City University","Ireland","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Dublin City University","Ireland","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Dublin City University","Ireland","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Dublin Institute For Advanced Studies DIAS","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Duke Kunshan University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of Baroda","Duke University","United States of America","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs/management-course-new.pdf","Art; Econamics & Econometrics; Law; Management; Medical; Performing Arts and Design Courses; STEM"
"Bank of India","Duke University","United States of America","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Duke University","United States of America","Top 50 to 200 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Leapfinance","Duke University","United States of America","Listed","https://leapfinance.com/courses","Any course"
"Mpower","Duke University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Prodigy","Duke University","United States of America","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Computer Science & IT; Engineering & Technology; Medicine & Health; Natural Sciences"
"Punjab National Bank","Duke University","United States of America","Annexure B","As per bank list","Any course"
"State Bank of India","Duke University","United States of America","Annexure","As per bank list - https://drive.google.com/file/d/12exUFGGWOjypQI8sfCYLEz_Moavy22eH/view","Any course"
"Union Bank of India","Duke University","United States of America","Category A","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","Art; Design; Economics & Econometrics; Law; Management; Medical; Performing Arts; STEM; and Public Affairs."
"Yes Bank","Duke University","United States of America","Top 75 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Dumlupinar University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Dunarea de Jos University Galati","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Duquesne University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","Duquesne University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Prodigy","Duquesne University","United States of America","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Computer Science & IT"
"Bank of India","Durban University of Technology","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of Baroda","Durham University","United Kingdom","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs/management-course-new.pdf","Management; STEM"
"Bank of India","Durham University","United Kingdom","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Durham University","United Kingdom","Top 50 to 200 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Prodigy","Durham University","United Kingdom","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management"
"Yes Bank","Durham University","United Kingdom","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Duy Tan University","Vietnam","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Duy Tan University","Vietnam","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Duy Tan University","Vietnam","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Duzce University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","East Carolina University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","East Carolina University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","East China Normal University","China","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","East China Normal University","China","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","East China Normal University","China","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","East China University of Science and Technology","China","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","East China University of Science and Technology","China","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","East China University of Science and Technology","China","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","East China University of Science and Technology","China","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","East Tennessee State University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Eastern Illinois University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Eastern Kentucky University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Eastern Mediterranean University","Northern Cyprus","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Eastern Mediterranean University","Northern Cyprus","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Eastern Mediterranean University","Northern Cyprus","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Eastern Michigan University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Eastern Virginia Medical School","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","Eastern Virginia Medical School","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","Eastern Washington University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Eberhard Karls Universitat Tubingen","Germany","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Eberhard Karls Universitat Tubingen","Germany","Top 200 to 300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Eberhard Karls Universitat Tubingen","Germany","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Ecole Centrale de Lyon","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ecole Centrale de Nantes","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ecole de Technologie Superieure","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ecole des Hautes Etudes en sante publique EHESP (Alliance Sorbonne Paris Cite)","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ecole des Hautes Etudes en sciences sociales EHESS (University PSL)","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ecole Nationale des Ponts et Chaussees ENPC (comUE University Paris Est)","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ecole Nationale Superieure de Techniques Avancees","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ecole Nationale Superieure des Telecommunications (Telecom ParisTech)","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ecole Nationale Superieure dIngenieurs de Caen","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ecole Nationale Veterinaire de Toulouse (University Federale Toulouse Midi-Pyrenees)","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ecole Normale Superieure de Lyon","France","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Ecole Normale Superieure de Lyon","France","Top 200 to 300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Ecole Normale Superieure de Lyon","France","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Ecole Normale Superieure de Lyon (comUE University of Lyon)","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ecole Normale Superieure ENS Paris (University PSL)","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
