"UniversityNorm","CanonicalUniversity","VariantsCount","TotalRows","Variants"
"beijing institute of technology","Beijing Institute of Technology","4","4","Beijing Institute of Technology:4"
"universitas indonesia","UNIVERSITAS INDONESIA","4","4","UNIVERSITAS INDONESIA:4"
"national technical university of athens","National Technical University of Athens","4","4","National Technical University of Athens:4"
"national taiwan university of science and technology taiwan tech","National Taiwan University of Science and Technology (Taiwan Tech)","4","4","National Taiwan University of Science and Technology (Taiwan Tech):4"
"fordham university","Fordham University","4","4","Fordham University:4"
"edith cowan university","Edith Cowan University","4","4","Edith Cowan University:4"
"national tsing hua university","National Tsing Hua University","4","4","National Tsing Hua University:4"
"university of twente","University of Twente","4","4","University of Twente:4"
"manchester metropolitan university","Manchester Metropolitan University","4","4","Manchester Metropolitan University:4"
"universitat politecnica de catalunya","Universitat Politecnica de Catalunya","4","4","Universitat Politecnica de Catalunya:4"
"villanova university","Villanova University","4","4","Villanova University:4"
"karlsruhe institute of technology","Karlsruhe Institute of Technology","4","4","Karlsruhe Institute of Technology:4"
"karolinska institutet","Karolinska Institutet","4","4","Karolinska Institutet:4"
"universitat politecnica de valencia","Universitat Politecnica de Valencia","4","4","Universitat Politecnica de Valencia:4"
"utah state university","Utah State University","4","4","Utah State University:4"
"universitat stuttgart","Universitat Stuttgart","4","4","Universitat Stuttgart:4"
"vienna university of technology","Vienna University of Technology","4","4","Vienna University of Technology:4"
"applied science private university jordan","Applied Science Private University - Jordan","4","4","Applied Science Private University - Jordan:4"
"alma mater studiorum university of bologna","Alma Mater Studiorum - University of Bologna","4","4","Alma Mater Studiorum - University of Bologna:4"
"universiti sains malaysia usm","Universiti Sains Malaysia (USM)","4","4","Universiti Sains Malaysia (USM):4"
"university of victoria","University of Victoria","4","4","University of Victoria:4"
"australian catholic university","Australian Catholic University","4","4","Australian Catholic University:4"
"universiti teknologi malaysia","Universiti Teknologi Malaysia","4","4","Universiti Teknologi Malaysia:4"
"universidad de los andes colombia","Universidad de Los Andes Colombia","4","4","Universidad de Los Andes Colombia:4"
"american university of beirut aub","American University of Beirut (AUB)","4","4","American University of Beirut (AUB):4"
"vrije universiteit amsterdam","Vrije Universiteit Amsterdam","4","4","Vrije Universiteit Amsterdam:4"
"maastricht university","Maastricht University","4","4","Maastricht University:4"
"athens university of economics and business","Athens University of Economics And Business","4","4","Athens University of Economics And Business:4"
"university of aberdeen","University of Aberdeen","4","4","University of Aberdeen:4"
"brigham young university","Brigham Young University","4","4","Brigham Young University:4"
"universidad de la sabana","Universidad de La Sabana","4","4","Universidad de La Sabana:4"
"la trobe university","La Trobe University","4","4","La Trobe University:4"
"toronto metropolitan university","Toronto Metropolitan University","4","4","Toronto Metropolitan University:4"
"trinity college dublin","Trinity College Dublin","4","4","Trinity College Dublin:4"
"adam mickiewicz university","Adam Mickiewicz University","4","4","Adam Mickiewicz University:4"
"universidade de sao paulo","Universidade de Sao Paulo","4","4","Universidade de Sao Paulo:4"
"university of basel","University of Basel","4","4","University of Basel:4"
"oxford brookes university","Oxford Brookes University","4","4","Oxford Brookes University:4"
"fudan university","Fudan University","4","4","Fudan University:4"
"aalborg university","Aalborg University","4","4","Aalborg University:4"
"aalto university","Aalto University","4","4","Aalto University:4"
"tokyo institute of technology","Tokyo Institute of Technology","4","4","Tokyo Institute of Technology:4"
"university of plymouth","University of Plymouth","4","4","University of Plymouth:4"
"university of portsmouth","University of Portsmouth","4","4","University of Portsmouth:4"
"aarhus university","Aarhus University","4","4","Aarhus University:4"
"pohang university of science and technology postech","Pohang University of Science And Technology (POSTECH)","4","4","Pohang University of Science And Technology (POSTECH):4"
"politecnico di torino","Politecnico di Torino","4","4","Politecnico di Torino:4"
"university of reading","University of Reading","4","4","University of Reading:4"
"laval university","Laval University","4","4","Laval University:4"
"agh university of krakow","AGH University of Krakow","4","4","AGH University of Krakow:4"
"jeonbuk national university","Jeonbuk National University","4","4","Jeonbuk National University:4"
"heriot watt university","Heriot-Watt University","4","4","Heriot-Watt University:4"
"ben gurion university of the negev","Ben Gurion University of The Negev","4","4","Ben Gurion University of The Negev:4"
"oklahoma state university","Oklahoma State University","4","4","Oklahoma State University:4"
"university of sherbrooke","University of Sherbrooke","4","4","University of Sherbrooke:4"
"university of tasmania","University of Tasmania","4","4","University of Tasmania:4"
