"UniversityNorm","UniversityDisplay","FinalCountryNorm","DistinctCountries","CountryBreakdown","UniqueLenders","TotalRows","Status","RawCountryValues","RawNameValues"
"fujian medical university","Fujian Medical University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fujian Medical University"
"fujian normal university","Fujian Normal University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fujian Normal University"
"fujian university of technology","Fujian University of Technology","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fujian University of Technology"
"fujita health university","Fujita Health University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fujita Health University"
"fukuoka university","Fukuoka University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fukuoka University"
"fukushima medical university","Fukushima Medical University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fukushima Medical University"
"fuller theological seminary","Fuller Theological Seminary","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fuller Theological Seminary"
"fundacao getulio vargas fgv","Fundacao Getulio Vargas FGV","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fundacao Getulio Vargas FGV"
"furman university","Furman University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Furman University"
"future university","Future University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Future University"
"future university in egypt","Future University in Egypt","egypt","1","egypt:3","3","3","PASS","Egypt","Future University in Egypt"
"fuzhou university","Fuzhou University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fuzhou University"
"gachon university","Gachon University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gachon University"
"galgotias university","Galgotias University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Galgotias University"
"gallaudet university","Gallaudet University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gallaudet University"
"gandhi institute of technology and management","Gandhi Institute of Technology and Management","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gandhi Institute of Technology and Management"
"gannon university","Gannon University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gannon University"
"gansu agricultural university","Gansu Agricultural University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gansu Agricultural University"
"gauhati university","Gauhati University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gauhati University"
"gazi universitesi","Gazi Universitesi","turkiye","1","turkiye:3","3","3","PASS","Turkiye","Gazi Universitesi"
"gazi university","Gazi University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gazi University"
"gaziantep university","Gaziantep University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gaziantep University"
"gaziosmanpasa university","Gaziosmanpasa University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gaziosmanpasa University"
"gdansk university of technology","Gdansk University of Technology","poland","1","poland:3","3","3","PASS","Poland","Gdansk University of Technology"
"gebze technological university","Gebze Technological University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gebze Technological University"
"gelisim university","Gelisim University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gelisim University"
"georg august universitat gottingen","Georg-August-Universitat Gottingen","germany","1","germany:3","3","3","PASS","Germany","Georg-August-Universitat Gottingen"
"george mason university","George Mason University","united states of america","1","united states of america:8","8","8","PASS","United States of America","George Mason University"
"george washington university","George Washington University","united states of america","1","united states of america:7","7","7","PASS","United States of America","George Washington University"
"georgetown university","Georgetown University","united states of america","1","united states of america:7","7","7","PASS","United States of America","Georgetown University"
"georgia college and state university","Georgia College & State University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Georgia College & State University"
"georgia institute of technology","Georgia Institute of Technology","united states of america","1","united states of america:10","10","10","PASS","United States of America","Georgia Institute of Technology"
"georgia southern university","Georgia Southern University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Georgia Southern University"
"georgia state university","Georgia State University","united states of america","1","united states of america:7","7","7","PASS","United States of America","Georgia State University"
"georgian technical university","Georgian Technical University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Georgian Technical University"
"german jordanian university","German Jordanian University","jordan","1","jordan:3","3","3","PASS","Jordan","German Jordanian University"
"german university in cairo","German University in Cairo","united states of america","1","united states of america:1","1","1","PASS","United States of America","German University in Cairo"
"gettysburg college","Gettysburg College","united states of america","1","united states of america:2","2","2","PASS","United States of America","Gettysburg College"
"ghent university","Ghent University","belgium","1","belgium:5","5","5","PASS","Belgium","Ghent University"
"gheorghe asachi technical university","Gheorghe Asachi Technical University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gheorghe Asachi Technical University"
"gifu university","Gifu University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gifu University"
"giresun university","Giresun University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Giresun University"
"gla university","GLA University","united states of america","1","united states of america:1","1","1","PASS","United States of America","GLA University"
"glasgow caledonian university","Glasgow Caledonian University","united kingdom","1","united kingdom:1","1","1","PASS","United Kingdom","Glasgow Caledonian University"
"goethe universitat frankfurt am main","Goethe Universitat Frankfurt am Main","germany","1","germany:3","3","3","PASS","Germany","Goethe Universitat Frankfurt am Main"
"goethe university frankfurt","Goethe University Frankfurt","germany","1","germany:2","2","2","PASS","Germany","Goethe University Frankfurt"
"goldfarb school of nursing at barnes jewish college","Goldfarb School of Nursing at Barnes-Jewish College","united states of america","1","united states of america:1","1","1","PASS","United States of America","Goldfarb School of Nursing at Barnes-Jewish College"
"goldsmiths university of london","Goldsmiths, University of London","united kingdom","1","united kingdom:4","3","4","PASS","United Kingdom","Goldsmiths, University of London"
"golestan university of medical sciences","Golestan University of Medical Sciences","united states of america","1","united states of america:1","1","1","PASS","United States of America","Golestan University of Medical Sciences"
"golisano college of computing and information sciences of rochester institute of technology rit","Golisano College of Computing and Information Sciences of Rochester Institute of Technology (RIT)","united states of america","1","united states of america:1","1","1","PASS","United States of America","Golisano College of Computing and Information Sciences of Rochester Institute of Technology (RIT)"
"gonzaga university","Gonzaga University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Gonzaga University"
"government college university faisalabad","Government College University, Faisalabad","pakistan","1","pakistan:4","3","4","PASS","Pakistan","Government College University, Faisalabad"
"government college university lahore","Government College University Lahore","united states of america","1","united states of america:1","1","1","PASS","United States of America","Government College University Lahore"
"govind ballabh pant university of agriculture and technology","Govind Ballabh Pant University of Agriculture & Technology","united states of america","1","united states of america:1","1","1","PASS","United States of America","Govind Ballabh Pant University of Agriculture & Technology"
"graduate institute of international studies geneva","Graduate Institute of International Studies Geneva","switzerland","1","switzerland:1","1","1","PASS","Switzerland","Graduate Institute of International Studies Geneva"
"gran sasso science institute","Gran Sasso Science Institute","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gran Sasso Science Institute"
"grand valley state university","Grand Valley State University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Grand Valley State University"
"graz university of technology","Graz University of Technology","austria","1","austria:3","3","3","PASS","Austria","Graz University of Technology"
"grenoble ecole de management","Grenoble Ecole de Management","france","1","france:2","2","2","PASS","France","Grenoble Ecole de Management"
"grenoble inp","Grenoble INP","united states of america","1","united states of america:1","1","1","PASS","United States of America","Grenoble INP"
"griffith university","Griffith University","australia","1","australia:5","5","5","PASS","Australia","Griffith University"
"grinnell college","Grinnell College","united states of america","1","united states of america:2","2","2","PASS","United States of America","Grinnell College"
"guangdong ocean university","Guangdong Ocean University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guangdong Ocean University"
"guangdong pharmaceutical university","Guangdong Pharmaceutical University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guangdong Pharmaceutical University"
"guangdong university of foreign studies","Guangdong University of Foreign Studies","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guangdong University of Foreign Studies"
"guangdong university of technology","Guangdong University of Technology","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guangdong University of Technology"
"guangxi medical university","Guangxi Medical University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guangxi Medical University"
"guangxi normal university","Guangxi Normal University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guangxi Normal University"
"guangxi university","Guangxi University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guangxi University"
"guangzhou medical university","Guangzhou Medical University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guangzhou Medical University"
"guangzhou university","Guangzhou University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guangzhou University"
"guangzhou university of chinese medicine","Guangzhou University of Chinese Medicine","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guangzhou University of Chinese Medicine"
"gubkin russian state university of oil and gas","Gubkin Russian State University of Oil and Gas","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gubkin Russian State University of Oil and Gas"
"guilan university of medical sciences rasht","Guilan University of Medical Sciences Rasht","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guilan University of Medical Sciences Rasht"
"guilin university of electronic technology","Guilin University of Electronic Technology","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guilin University of Electronic Technology"
"guilin university of technology","Guilin University of Technology","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guilin University of Technology"
"guiyang medical university","Guiyang Medical University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guiyang Medical University"
"guizhou normal university","Guizhou Normal University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guizhou Normal University"
"guizhou university institute of technology","Guizhou University (Institute of Technology)","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guizhou University (Institute of Technology)"
"gulf university for science and technology gust","Gulf University for Science and Technology (GUST)","kuwait","1","kuwait:3","3","3","PASS","Kuwait","Gulf University for Science and Technology (GUST)"
"gunma university","Gunma University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gunma University"
"guru gobind singh indraprastha university","Guru Gobind Singh Indraprastha University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guru Gobind Singh Indraprastha University"
"guru nanak dev university","Guru Nanak Dev University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Guru Nanak Dev University"
"gwangju institute of science and technology","Gwangju Institute of Science & Technology","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gwangju Institute of Science & Technology"
"gwangju institute of science and technology gist","Gwangju Institute of Science and Technology (GIST)","south korea","1","south korea:3","3","3","PASS","South Korea","Gwangju Institute of Science and Technology (GIST)"
"gyeongsang national university","Gyeongsang National University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Gyeongsang National University"
